Title,Note,URL,Comment
"Twitter Staff Tweet Job Fears, Show Solidarity After Musk Seals Deal",,https://www-businessinsider-com.cdn.ampproject.org/v/s/www.businessinsider.com/twitter-staff-react-to-elon-musk-takeover-as-ceo-fired-2022-10?amp=&amp_gsa=1&amp_js_v=a9&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16669873043635&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.businessinsider.com%2Ftwitter-staff-react-to-elon-musk-takeover-as-ceo-fired-2022-10,
Medical gaslighting warning signs and how to advocate for yourself,,https://www.cnbc.com/2022/09/01/medical-gaslighting-warning-signs-and-how-to-advocate-for-yourself.html,
An Increase in Nihilism Plays Havoc With Mental Health | Psychology Today,,https://www-psychologytoday-com.cdn.ampproject.org/v/s/www.psychologytoday.com/us/blog/drawing-the-curtains-back/202208/increase-in-nihilism-plays-havoc-mental-health?amp=&amp_gsa=1&amp_js_v=a9&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16617275018371&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.psychologytoday.com%2Fus%2Fblog%2Fdrawing-the-curtains-back%2F202208%2Fincrease-in-nihilism-plays-havoc-mental-health,
Update on “Gas Station Heroin” and Other Legal Drugs | Psychology Today,,https://www-psychologytoday-com.cdn.ampproject.org/v/s/www.psychologytoday.com/us/blog/use-your-brain/202208/update-gas-station-heroin-and-other-legal-drugs?amp=&amp_gsa=1&amp_js_v=a9&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16613853266787&csi=1&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.psychologytoday.com%2Fus%2Fblog%2Fuse-your-brain%2F202208%2Fupdate-gas-station-heroin-and-other-legal-drugs,
I work at Starbucks — here’s the secret to saving money on your coffee,,https://nypost.com/2022/08/23/i-work-at-starbucks-heres-the-secret-to-saving-money-on-your-coffee/,
'Never take food from strangers': Former Airbnb employee says a ...,,https://www.msn.com/en-us/news/us/never-take-food-from-strangers-former-airbnb-employee-says-a-host-fed-guests-welcome-spaghetti-with-dog-food-in-it/ar-AAYTd74?li=BBnb7Kz,
"50 Genius People Who Beat The System By Following The Rules (New Pics) | 
Bored Panda",,https://www.boredpanda.com/funny-rule-bending-clever-workarounds-life-hacks/?utm_source=com.google.android&utm_medium=referral&utm_campaign=organic,
7 Things to Know and Understand About Gaslighting | Psychology Today,,https://www-psychologytoday-com.cdn.ampproject.org/v/s/www.psychologytoday.com/us/blog/widows-guide-healing/202206/7-things-know-and-understand-about-gaslighting?amp=&amp_gsa=1&amp_js_v=a9&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16546574880997&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.psychologytoday.com%2Fus%2Fblog%2Fwidows-guide-healing%2F202206%2F7-things-know-and-understand-about-gaslighting,
Over the Counter Adderall: Best 4 Natural Adderall Substitutes,,https://www.orlandomagazine.com/over-the-counter-adderall-best-4-natural-adderall-substitutes/,
"‘They want to hide in plain sight:’ Mexican drug cartels operating in metro 
Atlanta neighborhoods – WSB-TV Channel 2 - Atlanta",,https://www-wsbtv-com.cdn.ampproject.org/v/s/www.wsbtv.com/news/local/atlanta/they-want-hide-plain-sight-mexican-drug-cartels-operating-metro-atlanta-neighborhoods/NWUMQBEZSBFE3KOFMTNVM4S46Q/?amp_gsa=1&amp_js_v=a9&outputType=amp&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16530051868232&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.wsbtv.com%2Fnews%2Flocal%2Fatlanta%2Fthey-want-hide-plain-sight-mexican-drug-cartels-operating-metro-atlanta-neighborhoods%2FNWUMQBEZSBFE3KOFMTNVM4S46Q%2F,
Benjamin Franklin gave instructions on at-home abortions in a book ...,,https://www.npr.org/2022/05/18/1099542962/abortion-ben-franklin-roe-wade-supreme-court-leak,
Tracing the Portrayal of Mental Disorders in Literature Over Time ...,,https://crimereads.com/mental-disorders-in-literature/,
Logitech C920 review,,https://www.cnn.com/2021/07/21/cnn-underscored/logitech-c920-review/index.html,
"Georgia Tech professor faces backlash over COVID-19 comments on class 
syllabus",,https://www-ajc-com.cdn.ampproject.org/v/s/www.ajc.com/education/georgia-tech-prof-says-covid-19-scamdemic-measures-bullying-students/KTSX5Z5SBNHAXJZOFWKIILEIP4/?amp_gsa=1&amp_js_v=a8&outputType=amp&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16426261855772&csi=1&referrer=https%3A%2F%2Fwww.google.com,
The Link Between Adult ADHD and Fatigue | Psychology Today,,https://www-psychologytoday-com.cdn.ampproject.org/v/s/www.psychologytoday.com/us/blog/rethinking-adult-adhd/202112/the-link-between-adult-adhd-and-fatigue?amp=&amp_gsa=1&amp_js_v=a6&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16420798848060&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.psychologytoday.com%2Fus%2Fblog%2Frethinking-adult-adhd%2F202112%2Fthe-link-between-adult-adhd-and-fatigue,
Worldwide Campaign for Neurorights Notches Its First Win,,https://spectrum.ieee.org/neurotech-neurorights,
Printf Debugging and Srinivasa Ramanujan,,https://earthly.dev/blog/printf-debugging/,
"The intersection of math, computers, and everything else",,https://news.mit.edu/2021/intersection-math-computers-and-everything-else-1205,
Quantum processor swapped in for a neural network – Ars Technica,,https://arstechnica-com.cdn.ampproject.org/v/s/arstechnica.com/science/2021/12/quantum-processor-swapped-in-for-a-neural-network/?amp=1&amp_gsa=1&amp_js_v=a6&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16387557415758&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Farstechnica.com%2Fscience%2F2021%2F12%2Fquantum-processor-swapped-in-for-a-neural-network%2F,
,,https://fonts.googleapis.com/css?family=Karla%7CNoto+Sans%3A700%7COverpass+Mono&display=optional,
Negroni Sbagliato Recipe (3-Ingredient Italian Cocktail) | Kitchn,,https://www-thekitchn-com.cdn.ampproject.org/v/s/www.thekitchn.com/negroni-sbagliato-recipe-23245024?amp=1&amp_gsa=1&amp_js_v=a6&usqp=mq331AQIKAGwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=16371743936343&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.thekitchn.com%2Fnegroni-sbagliato-recipe-23245024,
